Species abbr. (full name)	Tribe	Sex	ID	Depth	CDS unique ID	CDS tip label	AA unique ID	CDS reads depth after mapping to the ref. genome (mean|median)	Genome wide reads depth after mapping to the ref. genome (mean|median)	Ratio of CDS and genome wide reads depth (mean|median)
TeldhN (Telmatochromis sp. “dhonti north”)	Lamprologini	M	JUD4	shallow	haplo165	TeldhN_2_A	haplo98	7.71|8	9.05|8	0.85|1
TeldhN (Telmatochromis sp. “dhonti north”)	Lamprologini	F	JUD5	shallow	haplo166	TeldhN_2_B	haplo98	17.37|17	18.14|16	0.48|0.53
TeldhS (Telmatochromis dhonti)	Lamprologini	F	LBF7	shallow	haplo167	TeldhS_2_A	haplo98	11.33|11	10.23|9	1.11|1.22
TeldhS (Telmatochromis dhonti)	Lamprologini	M	LBF8	shallow	haplo168	TeldhS_2_B	haplo98	10.63|10	9.73|8	1.09|1.25
TeldhT (Telmatochromis sp. “dhonti twiyu”)	Lamprologini	M	LHC1	shallow	haplo169	TeldhT_2_A	haplo98	20.81|20	19.66|17	0.53|0.59
TeldhT (Telmatochromis sp. “dhonti twiyu”)	Lamprologini	F	LHF2	shallow	haplo170	TeldhT_2_B	haplo98	17.38|18	17.78|15	0.49|0.6
Tellon (Telmatochromis sp. “longola”)	Lamprologini	M	JWC8	NA	haplo171	Tellon_2	haplo112	10.84|11	10.36|9	1.05|1.22
Tellon (Telmatochromis sp. “longola”)	Lamprologini	F	JWC9	NA	haplo171	Tellon_2	haplo112	19.65|20	18.57|17	0.53|0.59
Telluf (Telmatochromis sp. “lufubu”)*	Lamprologini	M	HXC8	NA	haplo172	Telluf_1	haplo113	10.3|10	12.19|10	0.84|1
Telshe (Telmatochromis sp. “shell”)	Lamprologini	M	IRI8	inter.	haplo173	Telshe_2_A	haplo111	11.88|11	12.49|11	0.95|1
Telshe (Telmatochromis sp. “shell”)	Lamprologini	F	IRI9	inter.	haplo174	Telshe_2_B	haplo111	10.75|11	10.18|9	1.06|1.22
TelteS (Telmatochromis temporalis)	Lamprologini	M	IMB3	inter.	haplo175	TelteS_2_B	haplo112	8.45|8	8.64|7	0.98|1.14
TelteS (Telmatochromis temporalis)	Lamprologini	F	IMB4	inter.	haplo170	TelteS_2_A	haplo98	10.48|10	12.33|11	0.85|0.91
Telvit (Telmatochromis vittatus)	Lamprologini	M	JBD5	inter.	haplo176	Telvit_2_A	haplo114	9.54|10	10.36|9	0.92|1.11
Telvit (Telmatochromis vittatus)	Lamprologini	F	JBD6	inter.	haplo177	Telvit_2_B	haplo115	9.67|9	11.12|10	0.87|0.9
Varmoo (Variabilichromis moorii)	Lamprologini	F	AUC3	shallow	haplo178	Varmoo_2	haplo107	10.04|10	13.66|12	0.73|0.83
Varmoo (Variabilichromis moorii)	Lamprologini	M	AUC4	shallow	haplo178	Varmoo_2	haplo197	10.36|10	10.99|10	0.94|1
Baicen (Baileychromis centropomoides)	Limnochromini	M	JAB7	deep	haplo179	Baicen_2_A	haplo116	8.11|9	10.71|9	0.76|1
Baicen (Baileychromis centropomoides)	Limnochromini	F	JAE9	deep	haplo180	Baicen_2_B	haplo117	10.62|11	15.45|13	0.69|0.85
Gnaper (Gnathochromis permaxillaris)	Limnochromini	F	ITA4	deep	haplo181	Gnaper_2	haplo118	13.4|13	13.17|11	1.02|1.18
Gnaper (Gnathochromis permaxillaris)	Limnochromini	M	IUI5	deep	haplo181	Gnaper_2	haplo118	10.51|10	12.43|10	0.85|1
Gwcabe (Limnochromis abeelei)	Limnochromini	F	ITB3	deep	haplo182	Gwcabe_2	haplo119	11.39|12	12.3|10	0.93|1.2
Gwcabe (Limnochromis abeelei)	Limnochromini	M	ITB4	deep	haplo182	Gwcabe_2	haplo119	9.58|9	10.83|9	0.88|1
Gwcbel (Greenwoodochromis bellcrossi)	Limnochromini	F	IXB5	deep	haplo183	Gwcbel_1	haplo120	14.27|14	14.95|12	0.48|0.58
Gwcchr (Greenwoodochromis christyi)	Limnochromini	M	IZE4	deep	haplo184	Gwcchr_2_A	haplo121	13.77|14	14.6|12	0.94|1.17
Gwcchr (Greenwoodochromis christyi)	Limnochromini	F	IZF1	deep	haplo185	Gwcchr_2_B	haplo122	6.92|6	10.65|9	0.65|0.67
Gwcsta (Limnochromis staneri)	Limnochromini	F	ITA6	deep	haplo186	Gwcsta_3	haplo123	20.6|21	22.23|19	0.46|0.55
Gwcsta (Limnochromis staneri)	Limnochromini	M	ITC2	deep	haplo186	Gwcsta_3	haplo123	9.46|9	10.66|8	0.89|1.12
Gwcsta (Limnochromis staneri)	Limnochromini	M	IXB6	deep	haplo186	Gwcsta_3	haplo123	11.74|11	11.53|9	1.02|1.22
Lchaur (Limnochromis auritus)	Limnochromini	F	ITB1	inter.	haplo187	Lchaur_2	haplo124	10.22|10	11.53|10	0.89|1
Lchaur (Limnochromis auritus)	Limnochromini	M	JAF5	inter.	haplo187	Lchaur_2	haplo124	10.65|10	11.87|10	0.9|1
Regcal (Reganochromis calliurus)	Limnochromini	M	IUI1	NA	haplo188	Regcal_2	haplo125	8.71|8	10.06|8	0.87|1
Regcal (Reganochromis calliurus)	Limnochromini	F	IUI4	NA	haplo188	Regcal_2	haplo125	8.5|8	11.23|9	0.76|0.89
Tchdha (Tangachromis dhanisi)	Limnochromini	M	LJA7	deep	haplo189	Tchdha_2	haplo124	7.35|7	9.18|8	0.8|0.88
Tchdha (Tangachromis dhanisi)	Limnochromini	F	LJA8	deep	haplo189	Tchdha_2	haplo124	15.5|15	18.71|16	0.41|0.47
Trioto (Triglachromis otostigma)	Limnochromini	F	JEG5	deep	haplo187	Trioto_2_A	haplo124	11.87|12	13.7|11	0.87|1.09
Trioto (Triglachromis otostigma)	Limnochromini	M	JEG6	deep	haplo190	Trioto_2_B	haplo126	9.53|9	10.29|8	0.93|1.12
Oretan (Oreochromis tanganicae)*	Oreochromini	M	JAB6	inter.	haplo191	Oretan_2	haplo127	17.3|17	20.85|19	0.41|0.45
Oretan (Oreochromis tanganicae)*	Oreochromini	F	JAC7	inter.	haplo191	Oretan_2	haplo127	17.89|17	19.79|18	0.45|0.47
Hapmic (Haplotaxodon microlepis)	Perissodini	M	IQB8	inter.	haplo192	Hapmic_1	haplo128	18.68|17	18.9|17	0.49|0.5
Perecc (Perissodus eccentricus)	Perissodini	M	IXA4	deep	haplo193	Perecc_2_A	haplo129	12.06|12	11.85|11	1.02|1.09
Perecc (Perissodus eccentricus)	Perissodini	M	IZB2	deep	haplo194	Perecc_2_B	haplo129	17.95|16	17.65|16	0.51|0.5
Permic (Perissodus microlepis)	Perissodini	M	IQC4	inter.	haplo195	Permic_2	haplo130	12.23|12	13.16|12	0.93|1
Permic (Perissodus microlepis)	Perissodini	F	IQI4	inter.	haplo195	Permic_2	haplo130	9.3|9	10.01|9	0.93|1
Pleela (Plecodus elaviae)	Perissodini	M	LHI4	deep	haplo193	Pleela_2	haplo129	10.95|10	11.11|10	0.99|1
Pleela (Plecodus elaviae)	Perissodini	F	LHI6	deep	haplo193	Pleela_2	haplo129	12.38|12	11.5|10	1.08|1.2
Plemul (Plecodus multidentatus)	Perissodini	F	IZA8	deep	haplo193	Plemul_2	haplo129	18.4|19	19.7|18	0.93|1.06
Plemul (Plecodus multidentatus)	Perissodini	M	IZA9	deep	haplo193	Plemul_2	haplo129	11.05|11	14|12	0.79|0.92
Plepar (Plecodus paradoxus)	Perissodini	M	JDI4	deep	haplo196	Plepar_2_A	haplo131	11.68|12	12.3|11	0.48|0.55
Plepar (Plecodus paradoxus)	Perissodini	F	LEC7	deep	haplo197	Plepar_2_B	haplo131	8.84|9	9.82|8	0.9|1.12
Plestr (Plecodus straeleni)	Perissodini	F	INE8	NA	haplo198	Plestr_2	haplo129	20.27|20	20.69|19	0.49|0.53
Plestr (Plecodus straeleni)	Perissodini	M	INE9	NA	haplo198	Plestr_2	haplo129	14.83|15	13.18|12	1.13|1.25
Xchhec (Xenochromis hecqui)	Perissodini	M	IUI7	deep	haplo199	Xchhec_2	haplo129	7.25|7	9.5|8	0.76|0.88
Xchhec (Xenochromis hecqui)	Perissodini	F	JAH7	deep	haplo199	Xchhec_2	haplo129	14.87|15	13.45|12	1.11|1.25
Phaacu (Pharyngochromis acuticeps)*	Serranochromini	M	JWF3	NA	haplo200	Phaacu_1	haplo132	18.04|18	22|19	0.41|0.47
Sarcar (Sargochromis carlottae)*	Serranochromini	Juv.	JWF4	NA	haplo201	Sarcar_1	haplo133	18.84|18	20.51|18	0.46|0.5
Sermac (Serranochromis macrocephalus)*	Serranochromini	M	JWF5	NA	haplo202	Sermac_1	haplo134	23.01|23	26.14|23	0.44|0.5
Steult (Steatocranus sp. “ultraslender”)*	Steatocranini	M	JWE8	NA	haplo203	Steult_1	haplo135	14.96|15	18.67|15	0.4|0.5
Tilspa (Tilapia sparmanii)*	Tilapiini	M	JWF7	NA	haplo204	Tilspa_1	haplo136	19.97|18	22.22|20	0.45|0.45
Trecap (Trematocara caparti)	Trematocarini		LJC8	deep	haplo205	Trecap_1	haplo137	11.53|10	12.3|9	0.94|1.11
Tremac (Trematocara macrostoma)	Trematocarini	M	IUD8	deep	haplo206	Tremac_2	haplo138	13.85|14	18.01|14	0.38|0.5
Tremac (Trematocara macrostoma)	Trematocarini	F	IUD9	deep	haplo206	Tremac_2	haplo138	13.06|12	16.6|13	0.39|0.46
Tremar (Trematocara marginatum)	Trematocarini	M	ISA1	deep	NA	NA	NA	7.57|7	10.48|8	0.72|0.88
Tremar (Trematocara marginatum)	Trematocarini	F	ISA3	deep	haplo207	Tremar_1	haplo139	18.12|19	19.43|16	0.47|0.59
Trenig (Trematocara nigrifrons)	Trematocarini	F	GPA1	deep	haplo208	Trenig_2	haplo140	6.88|6	10.49|8	0.66|0.75
Trenig (Trematocara nigrifrons)	Trematocarini	M	IUE5	deep	haplo208	Trenig_2	haplo140	18.68|19	20.36|15	0.46|0.63
Tresti (Trematocara stigmaticum)	Trematocarini	M	IUE7	deep	haplo209	Tresti_2_A	haplo141	17.33|17	15.14|11	0.57|0.77
Tresti (Trematocara stigmaticum)	Trematocarini	M	IZE1	deep	haplo210	Tresti_2_B	haplo412	10.69|11	14.56|12	0.73|0.92
Treuni (Trematocara unimaculatum)	Trematocarini	M	IXA3	deep	haplo211	Treuni_2_A	haplo413	10.69|10	16.07|12	0.67|0.83
Treuni (Trematocara unimaculatum)	Trematocarini	F	IXA6	deep	haplo212	Treuni_2_B	haplo144	6.89|7	15.46|12	0.22|0.29
Trezeb (Trematocara zebra)	Trematocarini	M	LFC9	deep	haplo213	Trezeb_2	haplo145	5.44|5	10.21|7	0.53|0.71
Trezeb (Trematocara zebra)	Trematocarini	F	LFE4	deep	haplo213	Trezeb_2	haplo145	8.15|7	10.74|8	0.76|0.88
Ctehor (Ctenochromis horei)	Tropheini	M	AVA8	shallow	haplo214	Ctehor_2	haplo146	8.52|8	11.49|10	0.74|0.8
Ctehor (Ctenochromis horei)	Tropheini	F	AXA7	shallow	haplo214	Ctehor_2	haplo146	10.53|11	11.94|10	0.88|1.1
Gnapfe (Gnathochromis pfefferi)	Tropheini	M	AWB7	inter.	haplo215	Gnapfe_2	haplo147	11.24|12	11.03|10	1.02|1.2
Gnapfe (Gnathochromis pfefferi)	Tropheini	F	AWE2	inter.	haplo215	Gnapfe_2	haplo147	8.91|8	10.58|9	0.84|0.89
Intloo (Interochromis loocki)	Tropheini	F	IPB6	shallow	haplo216	Intloo_2	haplo147	11.97|12	13.14|11	0.91|1.09
Intloo (Interochromis loocki)	Tropheini	M	IPF3	shallow	haplo216	Intloo_2	haplo147	6.7|7	10.43|9	0.64|0.78
Limdar (Limnotilapia dardennii)	Tropheini	F	AWI5	inter.	haplo216	Limdar_2	haplo147	9.65|9	11.26|10	0.86|0.9
Limdar (Limnotilapia dardennii)	Tropheini	M	AWI6	inter.	haplo216	Limdar_2	haplo147	9.86|10	11.54|10	0.85|1
Loblab (Lobochilotes labiatus)	Tropheini	M	ISD8	inter.	haplo217	Loblab_2_A	haplo148	10.61|11	10.75|9	0.99|1.22
Loblab (Lobochilotes labiatus)	Tropheini	F	ISE5	inter.	haplo218	Loblab_2_B	haplo149	10.62|11	9.28|8	1.14|1.38
Peteph (Petrochromis ephippium)	Tropheini	F	IPC1	inter.	haplo219	Peteph_2	haplo62	7.31|7	10.65|9	0.69|0.78
Peteph (Petrochromis ephippium)	Tropheini	M	IYA5	inter.	haplo219	Peteph_2	haplo62	6.68|7	8.54|7	0.78|1
Petfam (Petrochromis famula)	Tropheini	F	IYA6	shallow	haplo82	Petfam_2_B	haplo62	5.55|6	8.66|7	0.64|0.86
Petfam (Petrochromis famula)	Tropheini	M	IYA7	shallow	haplo220	Petfam_2_A	haplo150	7.47|8	12.02|10	0.62|0.8
Petfas (Petrochromis fasciolatus)	Tropheini	M	GPH7	shallow	haplo221	Petfas_2_A	haplo146	9.14|9	11.4|10	0.8|0.9
Petfas (Petrochromis fasciolatus)	Tropheini	F	JAE1	shallow	haplo222	Petfas_2_B	haplo151	11.68|12	11.44|10	1.02|1.2
Petgia (Petrochromis sp. “giant”)	Tropheini	M	LDC6	shallow	haplo223	Petgia_2	haplo64	12.15|12	11.55|10	1.05|1.2
Petgia (Petrochromis sp. “giant”)	Tropheini	F	LHD2	shallow	haplo223	Petgia_2	haplo64	11.81|12	10.79|9	1.09|1.33
Pethor (Petrochromis horii)	Tropheini	M	IWB5	inter.	haplo82	Pethor_2	haplo62	9.23|9	10.55|9	0.87|1
Pethor (Petrochromis horii)	Tropheini	F	IWB6	inter.	haplo82	Pethor_2	haplo62	10.74|10	13.9|12	0.77|0.83
Petiko (Petrochromis sp. “orthognathus ikola”)	Tropheini	M	LFA6	shallow	haplo217	Petiko_2	haplo148	8.6|9	10.83|9	0.79|1
Petiko (Petrochromis sp. “orthognathus ikola”)	Tropheini	F	LFA8	shallow	haplo217	Petiko_2	haplo148	9|9	11.3|9	0.8|1
Petkas (Petrochromis sp. “kazumbae”)	Tropheini	F	KEA4	shallow	haplo82	Petkas_2_B	haplo62	8.97|9	12.23|10	0.37|0.45
Petkas (Petrochromis sp. “kazumbae”)	Tropheini	M	KEB4	shallow	haplo224	Petkas_2_A	haplo62	9.3|9	12.47|11	0.37|0.41
Petkip (Petrochromis sp. “kipili brown”)	Tropheini	M	LDE3	inter.	haplo225	Petkip_2	haplo152	6.68|6	9.25|8	0.72|0.75
Petkip (Petrochromis sp. “kipili brown”)	Tropheini	F	LDE4	inter.	haplo225	Petkip_2	haplo152	11.17|11	10.62|9	1.05|1.22
Petmac (Petrochromis macrognathus)	Tropheini	M	LDA4	shallow	haplo226	Petmac_2	haplo153	8.7|8	10.35|9	0.84|0.89
Petmac (Petrochromis macrognathus)	Tropheini	F	LJB1	shallow	haplo226	Petmac_2	haplo153	8.62|9	9.18|8	0.94|1.12
Petmos (Petrochromis sp. “moshi yellow”)	Tropheini	M	LCF6	inter.	haplo219	Petmos_2_A	haplo62	11.32|11	11.12|10	1.02|1.1
Petmos (Petrochromis sp. “moshi yellow”)	Tropheini	F	LCF8	inter.	haplo82	Petmos_2_B	haplo62	11.16|10	10.45|9	1.07|1.11
Petort (Petrochromis orthognathus)	Tropheini	F	JXH4	shallow	NA	NA	NA	2.57|2	6.17|5	0.42|0.4
Petort (Petrochromis orthognathus)	Tropheini	M	JXH5	shallow	haplo217	Petort_1	haplo148	19.15|19	18.63|16	0.51|0.59
Petpol (Petrochromis polyodon)	Tropheini	M	AWB9	shallow	haplo82	Petpol_2	haplo62	9.02|8	11.14|9	0.81|0.89
Petpol (Petrochromis polyodon)	Tropheini	F	AWI4	shallow	haplo82	Petpol_2	haplo62	10.81|10	11.25|10	0.96|1
Petrai (Petrochromis sp. “macrognathus rainbow”)	Tropheini	M	LGB5	shallow	haplo223	Petrai_2	haplo64	10.71|11	10.76|9	1|1.22
Petrai (Petrochromis sp. “macrognathus rainbow”)	Tropheini	F	LGB8	shallow	haplo223	Petrai_2	haplo64	9.42|9	10.88|9	0.87|1
Petred (Petrochromis sp. “red”)	Tropheini	M	LCD1	deep	haplo82	Petred_2	haplo62	9.95|10	9.31|8	1.07|1.25
Petred (Petrochromis sp. “red”)	Tropheini	F	LCD5	deep	haplo82	Petred_2	haplo62	8.51|9	9.37|8	0.91|1.12
Pettex (Petrochromis sp. “polyodon texas”)	Tropheini	M	LHB1	shallow	haplo227	Pettex_2_A	haplo154	10.43|11	11.57|10	0.9|1.1
Pettex (Petrochromis sp. “polyodont texas”)	Tropheini	F	LHB3	shallow	haplo82	Pettex_2_B	haplo62	13.65|14	14.39|12	0.95|1.17
Pettre (Petrochromis trewavasae)	Tropheini	M	IWC9	NA	haplo228	Pettre_2_A	haplo62	17.14|17	20.87|19	0.41|0.45
Pettre (Petrochromis trewavasae)	Tropheini	F	IWD4	NA	haplo82	Pettre_2_B	haplo62	9.39|9	11.98|10	0.78|0.9
Psccur (Pseudosimochromis curvifrons)	Tropheini	F	AXF8	shallow	haplo216	Psccur_2	haplo147	11.67|12	13.5|11	0.86|1.09
Psccur (Pseudosimochromis curvifrons)	Tropheini	M	AYC7	shallow	haplo216	Psccur_2	haplo147	13.57|13	14.62|13	0.93|1
Simbab (Pseudosimochromis babaulti)	Tropheini	M	JUA3	shallow	haplo229	Simbab_2	haplo147	11.14|11	12.08|10	0.92|1.1
Simbab (Pseudosimochromis babaulti)	Tropheini	F	JUA4	shallow	haplo229	Simbab_2	haplo147	11.7|11	18.52|17	0.63|0.65
Simdia (Simochromis diagramma)	Tropheini	F	AUD8	shallow	haplo230	Simdia_2_A	haplo148	15.34|15	14.71|13	1.04|1.15
Simdia (Simochromis diagramma)	Tropheini	M	AUE1	shallow	haplo231	Simdia_2_B	haplo148	10.19|11	13.91|12	0.73|0.92
Simmar (Pseudosimochromis marginatus)	Tropheini	M	KCE7	shallow	haplo232	Simmar_2	haplo147	14.24|14	14.44|13	0.49|0.54
Simmar (Pseudosimochromis marginatus)	Tropheini	F	KCF3	shallow	haplo232	Simmar_2	haplo147	22.59|23	21.99|20	0.51|0.58
Simmrg (Pseudosimochromis marginatus (North))	Tropheini	M	KFE8	shallow	haplo232	Simmrg_2	haplo147	10.44|10	10.52|9	0.99|1.11
Simmrg (Pseudosimochromis marginatus (North))	Tropheini	F	KFF1	shallow	haplo232	Simmrg_2	haplo147	12.79|12	11.1|10	1.15|1.2
Simple (Pseudosimochromis babaulti (South))	Tropheini	M	AUB6	shallow	haplo229	Simple_2	haplo147	12.73|13	14.13|12	0.9|1.08
Simple (Pseudosimochromis babaulti (South))	Tropheini	F	AVB6	shallow	haplo229	Simple_2	haplo147	11.02|12	14.28|12	0.77|1
Troann (Tropheus annectens)	Tropheini	M	JWG4	shallow	haplo82	Troann_2	haplo62	17.62|18	20.23|18	0.44|0.5
Troann (Tropheus annectens)	Tropheini	F	JWG5	shallow	haplo82	Troann_2	haplo62	9.69|9	11.38|10	0.85|0.9
Trobri (Tropheus brichardi)	Tropheini	M	JYI8	shallow	haplo234	Trobri_2	haplo146	12.19|12	12.52|11	0.97|1.09
Trobri (Tropheus brichardi)	Tropheini	F	JZA3	shallow	haplo234	Trobri_2	haplo146	10.17|10	12.39|11	0.82|0.91
TrobrK (Tropheus sp. “brichardi kipili”)	Tropheini	M	LGA5	shallow	haplo233	TrobrK_2	haplo155	6.83|6	10.62|9	0.64|0.67
TrobrK (Tropheus sp. “brichardi kipili”)	Tropheini	F	LGA6	shallow	haplo233	TrobrK_2	haplo155	12.15|12	11.44|10	1.06|1.2
Trodub (Tropheus duboisi)	Tropheini	M	KHA4	inter.	haplo235	Trodub_2	haplo62	14.38|14	10.96|9	1.31|1.56
Trodub (Tropheus duboisi)	Tropheini	F	KHA5	inter.	haplo235	Trodub_2	haplo62	8.6|8	11.72|10	0.73|0.8
Trokir (Tropheus sp. “kirschfleck”)	Tropheini	M	LCF1	shallow	haplo82	Trokir_1	haplo62	8.23|7	10.51|9	0.78|0.78
Trokir (Tropheus sp. “kirschfleck”)	Tropheini	F	LCF3	shallow	NA	NA	NA	7.28|7	9.63|8	0.76|0.88
Troluk (Tropheus sp. “lukuga”)	Tropheini	M	KEF2	shallow	haplo233	Troluk_2	haplo155	17.22|17	17.09|15	0.5|0.57
Troluk (Tropheus sp. “lukuga”)	Tropheini	F	KEF3	shallow	haplo233	Troluk_2	haplo155	9.91|10	10.63|9	0.93|1.11
Trolun (Tropheus sp. “lunatus”)	Tropheini	M	KED6	shallow	haplo236	Trolun_2_B	haplo156	8.26|7	10.72|9	0.77|0.78
Trolun (Tropheus sp. “lunatus”)	Tropheini	F	KED7	shallow	haplo233	Trolun_2_A	haplo155	10.62|11	11.42|10	0.93|1.1
Tromoo (Tropheus moorii)	Tropheini	M	JBH4	shallow	haplo82	Tromoo_2	haplo62	8.1|8	9.71|8	0.83|1
Tromoo (Tropheus moorii)	Tropheini	F	JBH5	shallow	haplo82	Tromoo_2	haplo62	7.78|7	11.17|10	0.7|0.7
Tromor (Tropheus sp. “murago”)	Tropheini	M	LHD9	shallow	haplo82	Tromor_2_B	haplo62	10.05|10	11.19|9	0.9|1.11
Tromor (Tropheus sp. “murago”)	Tropheini	F	LHE3	shallow	haplo237	Tromor_2_A	haplo157	9.98|9	10.86|9	0.92|1
Trompi (Tropheus sp. “mpimbwe”)	Tropheini	M	LDI5	shallow	haplo237	Trompi_2	haplo157	9.54|9	10.24|9	0.93|1
Trompi (Tropheus sp. “mpimbwe”)	Tropheini	F	LDI7	shallow	haplo237	Trompi_2	haplo157	8.12|8	9.17|8	0.88|1
Tronig (Tropheus sp. “black”)	Tropheini	F	JVC3	shallow	haplo82	Tronig_2	haplo62	16.56|17	15.23|13	1.09|1.31
Tronig (Tropheus sp. “black”)	Tropheini	M	JVC9	shallow	haplo82	Tronig_2	haplo62	9.14|9	12.25|11	0.75|0.82
Tropol (Tropheus polli)	Tropheini	M	LEF8	shallow	haplo82	Tropol_2	haplo62	13.15|13	17.11|15	0.38|0.43
Tropol (Tropheus polli)	Tropheini	F	LEF9	shallow	haplo82	Tropol_2	haplo62	17.13|17	16.9|15	0.51|0.57
Trored (Tropheus sp. “red”)	Tropheini	M	IOD9	shallow	haplo82	Trored_2	haplo62	11.22|11	12.96|11	0.87|1
Trored (Tropheus sp. “red”)	Tropheini	F	IOE1	shallow	haplo82	Trored_2	haplo62	10.84|11	11.02|9	0.98|1.22
